t1,t2,value
0.0,0.0,0.023
0.0,0.0498665501,0.016
0.0,0.0997331001,0.057
0.0,0.1495996502,0.088
0.0,0.1994662002,0.095
0.0,0.2493327503,0.05
0.0,0.2991993003,0.123
0.0,0.3490658504,0.141
0.0,0.3989324005,0.111
0.0,0.4487989505,0.155
0.0,0.4986655006,0.162
0.0,0.5485320506,0.15
0.0,0.5983986007,0.168
0.0,0.6482651507,0.13
0.0,0.6981317008,0.182
0.0,0.7479982509,0.144
0.0,0.7978648009,0.174
0.0,0.847731351,0.183
0.0,0.897597901,0.191
0.0,0.9474644511,0.193
0.0,0.9973310011,0.187
0.0,1.0471975512,0.153
0.0,1.0970641013,0.153
0.0,1.1469306513,0.229
0.0,1.1967972014,0.141
0.0,1.2466637514,0.195
0.0,1.2965303015,0.186
0.0,1.3463968515,0.198
0.0,1.3962634016,0.182
0.0,1.4461299517,0.16
0.0,1.4959965017,0.187
0.0,1.5458630518,0.215
0.0,1.5957296018,0.162
0.0,1.6455961519,0.172
0.0,1.6954627019,0.045
0.0,1.745329252,0.162
0.0,1.7951958021,0.117
0.0,1.8450623521,0.098
0.0,1.8949289022,0.061
0.0,1.9447954522,0.096
0.0,1.9946620023,0.089
0.0,2.0445285523,0.049
0.0,2.0943951024,0.06
0.0,2.1442616525,0.1
0.0,2.1941282025,0.096
0.0,2.2439947526,0.079
0.0,2.2938613026,0.076
0.0,2.3437278527,0.061
0.0,2.3935944027,0.026
0.0,2.4434609528,0.037
0.0,2.4933275028,0.046
0.0,2.5431940529,0.057
0.0,2.593060603,0.05
0.0,2.642927153,0.111
0.0,2.6927937031,0.16
0.0,2.7426602531,0.171
0.0,2.7925268032,0.259
0.0,2.8423933532,0.278
0.0,2.8922599033,0.284
0.0,2.9421264534,0.352
0.0,2.9919930034,0.36
0.0,3.0418595535,0.202
0.0,3.0917261035,0.321
0.0,3.1415926536,0.386
0.0,3.1914592036,0.276
0.0,3.2413257537,0.179
0.0,3.2911923038,0.435
0.0,3.3410588538,0.294
0.0,3.3909254039,0.279
0.0,3.4407919539,0.277
0.0,3.490658504,0.291
0.0,3.540525054,0.188
0.0,3.5903916041,0.149
0.0,3.6402581542,0.108
0.0,3.6901247042,0.041
0.0,3.7399912543,0.058
0.0,3.7898578043,0.041
0.0,3.8397243544,0.038
0.0,3.8895909044,0.028
0.0,3.9394574545,0.065
0.0,3.9893240046,0.077
0.0,4.0391905546,0.08
0.0,4.0890571047,0.099
0.0,4.1389236547,0.103
0.0,4.1887902048,0.055
0.0,4.2386567548,0.053
0.0,4.2885233049,0.091
0.0,4.338389855,0.096
0.0,4.388256405,0.056
0.0,4.4381229551,0.09
0.0,4.4879895051,0.138
0.0,4.5378560552,0.109
0.0,4.5877226052,0.152
0.0,4.6375891553,0.179
0.0,4.6874557054,0.182
0.0,4.7373222554,0.206
0.0,4.7871888055,0.187
0.0,4.8370553555,0.163
0.0,4.8869219056,0.194
0.0,4.9367884556,0.197
0.0,4.9866550057,0.194
0.0,5.0365215558,0.193
0.0,5.0863881058,0.143
0.0,5.1362546559,0.255
0.0,5.1861212059,0.157
0.0,5.235987756,0.161
0.0,5.285854306,0.19
0.0,5.3357208561,0.195
0.0,5.3855874062,0.194
0.0,5.4354539562,0.185
0.0,5.4853205063,0.178
0.0,5.5351870563,0.165
0.0,5.5850536064,0.185
0.0,5.6349201564,0.15
0.0,5.6847867065,0.169
0.0,5.7346532566,0.142
0.0,5.7845198066,0.165
0.0,5.8343863567,0.153
0.0,5.8842529067,0.122
0.0,5.9341194568,0.14
0.0,5.9839860068,0.12
0.0,6.0338525569,0.052
0.0,6.083719107,0.095
0.0,6.133585657,0.086
0.0,6.1834522071,0.053
0.0,6.2333187571,0.016
0.0498665501,0.0,0.028
0.0498665501,0.0498665501,0.021
0.0498665501,0.0997331001,0.018
0.0498665501,0.1495996502,0.037
0.0498665501,0.1994662002,0.078
0.0498665501,0.2493327503,0.097
0.0498665501,0.2991993003,0.085
0.0498665501,0.3490658504,0.096
0.0498665501,0.3989324005,0.135
0.0498665501,0.4487989505,0.14
0.0498665501,0.4986655006,0.117
0.0498665501,0.5485320506,0.164
0.0498665501,0.5983986007,0.139
0.0498665501,0.6482651507,0.163
0.0498665501,0.6981317008,0.169
0.0498665501,0.7479982509,0.166
0.0498665501,0.7978648009,0.183
0.0498665501,0.847731351,0.168
0.0498665501,0.897597901,0.171
0.0498665501,0.9474644511,0.177
0.0498665501,0.9973310011,0.19
0.0498665501,1.0471975512,0.189
0.0498665501,1.0970641013,0.191
0.0498665501,1.1469306513,0.163
0.0498665501,1.1967972014,0.121
0.0498665501,1.2466637514,0.217
0.0498665501,1.2965303015,0.149
0.0498665501,1.3463968515,0.21
0.0498665501,1.3962634016,0.176
0.0498665501,1.4461299517,0.188
0.0498665501,1.4959965017,0.141
0.0498665501,1.5458630518,0.17
0.0498665501,1.5957296018,0.18
0.0498665501,1.6455961519,0.242
0.0498665501,1.6954627019,0.186
0.0498665501,1.745329252,0.193
0.0498665501,1.7951958021,0.147
0.0498665501,1.8450623521,0.148
0.0498665501,1.8949289022,0.099
0.0498665501,1.9447954522,0.107
0.0498665501,1.9946620023,0.114
0.0498665501,2.0445285523,0.103
0.0498665501,2.0943951024,0.081
0.0498665501,2.1442616525,0.032
0.0498665501,2.1941282025,0.043
0.0498665501,2.2439947526,-0.001
