t1,t2,value
0.0,0.0,0.023
0.0,0.034906585,0.017
0.0,0.0698131701,0.029
0.0,0.1047197551,0.061
0.0,0.1396263402,0.083
0.0,0.1745329252,0.095
0.0,0.2094395102,0.092
0.0,0.2443460953,0.052
0.0,0.2792526803,0.104
0.0,0.3141592654,0.131
0.0,0.3490658504,0.141
0.0,0.3839724354,0.133
0.0,0.4188790205,0.112
0.0,0.4537856055,0.158
0.0,0.4886921906,0.164
0.0,0.5235987756,0.128
0.0,0.5585053606,0.159
0.0,0.5934119457,0.167
0.0,0.6283185307,0.168
0.0,0.6632251158,0.16
0.0,0.6981317008,0.182
0.0,0.7330382858,0.182
0.0,0.7679448709,0.171
0.0,0.8028514559,0.174
0.0,0.837758041,0.18
0.0,0.872664626,0.138
0.0,0.907571211,0.189
0.0,0.9424777961,0.192
0.0,0.9773843811,0.149
0.0,1.0122909662,0.178
0.0,1.0471975512,0.153
0.0,1.0821041362,0.142
0.0,1.1170107213,0.208
0.0,1.1519173063,0.199
0.0,1.1868238914,0.135
0.0,1.2217304764,0.165
0.0,1.2566370614,0.196
0.0,1.2915436465,0.19
0.0,1.3264502315,0.181
0.0,1.3613568166,0.198
0.0,1.3962634016,0.182
0.0,1.4311699866,0.156
0.0,1.4660765717,0.162
0.0,1.5009831567,0.19
0.0,1.5358897418,0.191
0.0,1.5707963268,0.226
0.0,1.6057029118,0.181
0.0,1.6406094969,0.175
0.0,1.6755160819,0.183
0.0,1.710422667,0.254
0.0,1.745329252,0.162
0.0,1.780235837,0.196
0.0,1.8151424221,0.098
0.0,1.8500490071,0.103
0.0,1.8849555922,0.058
0.0,1.9198621772,0.088
0.0,1.9547687622,0.097
0.0,1.9896753473,0.091
0.0,2.0245819323,0.072
0.0,2.0594885174,0.015
0.0,2.0943951024,0.06
0.0,2.1293016874,0.099
0.0,2.1642082725,0.076
0.0,2.1991148575,0.093
0.0,2.2340214426,0.081
0.0,2.2689280276,0.077
0.0,2.3038346126,0.074
0.0,2.3387411977,0.064
0.0,2.3736477827,0.04
0.0,2.4085543678,0.031
0.0,2.4434609528,0.037
0.0,2.4783675378,0.036
0.0,2.5132741229,0.058
0.0,2.5481807079,0.054
0.0,2.583087293,0.031
0.0,2.617993878,0.135
0.0,2.652900463,0.189
0.0,2.6878070481,0.148
0.0,2.7227136331,0.279
0.0,2.7576202182,0.426
0.0,2.7925268032,0.259
0.0,2.8274333882,0.235
0.0,2.8623399733,0.276
0.0,2.8972465583,0.291
0.0,2.9321531434,0.319
0.0,2.9670597284,0.323
0.0,3.0019663134,0.29
0.0,3.0368728985,0.198
0.0,3.0717794835,0.331
0.0,3.1066860685,0.37
0.0,3.1415926536,0.386
0.0,3.1764992386,0.381
0.0,3.2114058237,0.314
0.0,3.2463124087,0.181
0.0,3.2812189937,0.233
0.0,3.3161255788,0.498
0.0,3.3510321638,0.296
0.0,3.3859387489,0.285
0.0,3.4208453339,0.277
0.0,3.4557519189,0.219
0.0,3.490658504,0.291
0.0,3.525565089,0.295
0.0,3.5604716741,0.3
0.0,3.5953782591,0.149
0.0,3.6302848441,0.162
0.0,3.6651914292,0.123
0.0,3.7000980142,0.029
0.0,3.7350045993,0.056
0.0,3.7699111843,0.054
0.0,3.8048177693,0.032
0.0,3.8397243544,0.038
0.0,3.8746309394,0.026
0.0,3.9095375245,0.045
0.0,3.9444441095,0.068
0.0,3.9793506945,0.076
0.0,4.0142572796,0.079
0.0,4.0491638646,0.082
0.0,4.0840704497,0.097
0.0,4.1189770347,0.054
0.0,4.1538836197,0.097
0.0,4.1887902048,0.055
0.0,4.2236967898,0.02
0.0,4.2586033749,0.075
0.0,4.2935099599,0.093
0.0,4.3284165449,0.097
0.0,4.36332313,0.085
0.0,4.398229715,0.067
0.0,4.4331363001,0.102
0.0,4.4680428851,0.099
0.0,4.5029494701,0.207
0.0,4.5378560552,0.109
0.0,4.5727626402,0.228
0.0,4.6076692253,0.186
0.0,4.6425758103,0.184
0.0,4.6774823953,0.141
0.0,4.7123889804,0.24
0.0,4.7472955654,0.175
0.0,4.7822021505,0.19
0.0,4.8171087355,0.163
0.0,4.8520153205,0.157
0.0,4.8869219056,0.194
0.0,4.9218284906,0.206
0.0,4.9567350757,0.18
0.0,4.9916416607,0.199
0.0,5.0265482457,0.203
0.0,5.0614548308,0.166
0.0,5.0963614158,0.143
0.0,5.1312680009,0.231
0.0,5.1661745859,0.192
0.0,5.2010811709,0.149
0.0,5.235987756,0.161
0.0,5.270894341,0.185
0.0,5.3058009261,0.158
0.0,5.3407075111,0.193
0.0,5.3756140961,0.194
0.0,5.4105206812,0.156
0.0,5.4454272662,0.182
0.0,5.4803338513,0.177
0.0,5.5152404363,0.167
0.0,5.5501470213,0.185
0.0,5.5850536064,0.185
0.0,5.6199601914,0.146
0.0,5.6548667765,0.171
0.0,5.6897733615,0.168
0.0,5.7246799465,0.157
0.0,5.7595865316,0.143
0.0,5.7944931166,0.165
0.0,5.8293997017,0.156
0.0,5.8643062867,0.098
0.0,5.8992128717,0.137
0.0,5.9341194568,0.14
0.0,5.9690260418,0.129
0.0,6.0039326269,0.098
0.0,6.0388392119,0.061
0.0,6.0737457969,0.093
0.0,6.108652382,0.094
0.0,6.143558967,0.081
0.0,6.1784655521,0.058
0.0,6.2133721371,0.025
0.0,6.2482787221,0.018
0.034906585,0.0,0.016
0.034906585,0.034906585,0.022
0.034906585,0.0698131701,0.021
0.034906585,0.1047197551,0.017
0.034906585,0.1396263402,0.049
0.034906585,0.1745329252,0.076
0.034906585,0.2094395102,0.092
0.034906585,0.2443460953,0.097
0.034906585,0.2792526803,0.081
0.034906585,0.3141592654,0.074
0.034906585,0.3490658504,0.121
0.034906585,0.3839724354,0.137
0.034906585,0.4188790205,0.141
